query_index,num_active_labels,num_relevant_gallery,AP_percent,first_hit_rank,hit@1,hit@5,hit@10
757,3,7249,80.08831143379211,1,True,True,True
758,1,3002,36.80546283721924,2,False,True,True
759,3,6875,87.35759854316711,1,True,True,True
760,3,7591,86.04222536087036,1,True,True,True
761,2,6385,61.095672845840454,1,True,True,True
762,3,7249,73.91857504844666,1,True,True,True
763,5,8549,92.08497405052185,1,True,True,True
764,1,4518,42.3184335231781,2,False,True,True
765,1,3218,43.45249533653259,1,True,True,True
766,5,9581,95.35269737243652,1,True,True,True
767,2,5218,66.17960333824158,1,True,True,True
768,2,7338,69.16913390159607,1,True,True,True
769,2,5591,77.87408828735352,1,True,True,True
770,3,6804,76.48262977600098,1,True,True,True
771,2,4249,56.403565406799316,1,True,True,True
772,4,8397,93.12074780464172,1,True,True,True
773,3,7989,90.67037105560303,1,True,True,True
774,2,5218,68.27424764633179,1,True,True,True
775,3,5869,82.72585868835449,1,True,True,True
776,2,5001,61.27933859825134,1,True,True,True
777,1,3990,53.07091474533081,1,True,True,True
778,3,7284,74.02734160423279,1,True,True,True
779,1,3002,29.109960794448853,21,False,False,False
780,3,5738,57.56099224090576,1,True,True,True
781,2,5218,60.15833616256714,1,True,True,True
782,2,5850,63.2737934589386,1,True,True,True
783,3,6569,82.4182391166687,1,True,True,True
784,2,5850,63.41354846954346,1,True,True,True
785,3,7591,83.11365246772766,1,True,True,True
786,1,3721,47.23352789878845,1,True,True,True
787,2,5851,63.95122408866882,1,True,True,True
788,2,5218,57.30907917022705,1,True,True,True
789,3,8132,86.34782433509827,1,True,True,True
790,4,7468,83.17427635192871,1,True,True,True
791,1,4518,36.04491353034973,2,False,True,True
792,3,7157,77.77849435806274,1,True,True,True
793,2,5218,66.3952887058258,1,True,True,True
794,2,5218,65.32323956489563,1,True,True,True
795,2,5629,50.81605911254883,4,False,True,True
796,2,6123,78.62626314163208,1,True,True,True
797,3,7284,88.3309543132782,1,True,True,True
798,2,5629,83.2088828086853,1,True,True,True
799,3,6789,78.18431258201599,1,True,True,True
800,3,8500,85.15363931655884,1,True,True,True
801,2,5218,67.14094877243042,1,True,True,True
802,1,3990,48.307666182518005,1,True,True,True
803,1,2319,29.952359199523926,1,True,True,True
804,1,3218,47.72348403930664,1,True,True,True
805,2,5556,59.654223918914795,3,False,True,True
806,2,5629,83.85325074195862,1,True,True,True
807,2,5218,54.00528907775879,1,True,True,True
808,2,5218,63.17073106765747,2,False,True,True
809,4,7481,80.3712546825409,1,True,True,True
810,4,7468,85.92461943626404,1,True,True,True
811,4,7890,85.26286482810974,2,False,True,True
812,2,5629,84.71784591674805,1,True,True,True
813,2,5218,59.35690402984619,1,True,True,True
814,1,3721,49.30335283279419,1,True,True,True
815,3,6804,82.11485743522644,1,True,True,True
816,3,7143,78.68244051933289,1,True,True,True
817,3,7249,69.4986879825592,2,False,True,True
818,4,8939,92.83862709999084,1,True,True,True
